fecha,recinto,nombre_evento,tipo_evento,hora_inicio,asistencia_estimada,nivel_impacto,fecha_hora_evento
2024-10-05,Estadio Universitario,Tigres vs Puebla (Temporada Regular),Futbol,17:00,42000,2,2024-10-05 17:00:00
2024-10-11,Walmart Park,Sultanes vs Yaquis (Temporada LMP),Beisbol,19:30,22000,1,2024-10-11 19:30:00
2024-10-15,Parque Fundidora,Heineken Silver Live Out 2024,Festival,14:00,100000,4,2024-10-15 14:00:00
2024-10-19,Estadio BBVA,Rayados vs Tigres (Clásico Regio),Futbol,21:10,53500,3,2024-10-19 21:10:00
2024-10-22,Walmart Park,Sultanes vs Tomateros (LMP),Beisbol,19:30,22000,1,2024-10-22 19:30:00
2024-10-23,Estadio BBVA,Rayados vs Pumas (Temporada Regular),Futbol,19:00,53500,3,2024-10-23 19:00:00
2024-10-26,Estadio Universitario,Tigres vs Pachuca (Temporada Regular),Futbol,21:00,42000,2,2024-10-26 21:00:00
2024-11-06,Estadio Universitario,Tigres vs Toluca (Temporada Regular),Futbol,19:00,42000,2,2024-11-06 19:00:00
2024-11-23,Walmart Park,Sultanes vs Yaquis (LMP),Beisbol,17:00,22000,1,2024-11-23 17:00:00
2024-11-30,Parque Fundidora,Machaca Fest 2024,Festival,14:00,100000,4,2024-11-30 14:00:00
2024-12-01,Walmart Park,Sultanes vs Algodoneros (LMP),Beisbol,17:00,22000,1,2024-12-01 17:00:00
2025-01-12,Estadio BBVA,Rayados vs Puebla (Temporada Regular),Futbol,20:00,53500,3,2025-01-12 20:00:00
2025-01-14,Estadio Universitario,Tigres vs Pumas (Temporada Regular),Futbol,19:00,42000,2,2025-01-14 19:00:00
2025-01-17,Estadio Universitario,Tigres vs Toluca (Temporada Regular),Futbol,19:00,42000,2,2025-01-17 19:00:00
2025-01-18,Estadio BBVA,Rayados vs Toluca (Temporada Regular),Futbol,20:00,53500,3,2025-01-18 20:00:00
2025-01-25,Estadio BBVA,Rayados vs Pumas (Temporada Regular),Futbol,22:10,53500,3,2025-01-25 22:10:00
2025-01-29,Estadio BBVA,Rayados vs América (Temporada Regular),Futbol,20:00,53500,3,2025-01-29 20:00:00
2025-02-01,Estadio BBVA,Rayados vs Cruz Azul (Temporada Regular),Futbol,20:05,53500,3,2025-02-01 20:05:00
2025-02-05,Estadio BBVA,Rayados vs Chivas (Concacaf Champions),Futbol,20:00,53500,3,2025-02-05 20:00:00
2025-02-08,Estadio BBVA,Rayados vs Tijuana (Temporada Regular),Futbol,22:00,53500,3,2025-02-08 22:00:00
2025-02-15,Estadio BBVA,Rayados vs León (Temporada Regular),Futbol,19:00,53500,3,2025-02-15 19:00:00
2025-02-22,Estadio Universitario,Tigres vs León (Temporada Regular),Futbol,19:00,42000,2,2025-02-22 19:00:00
2025-03-12,Auditorio Citibanamex,Concierto Keane (Agotado),Concierto_Masivo,21:30,8000,1,2025-03-12 21:30:00
2025-04-13,Arena Monterrey,Concierto Eros Ramazzotti,Concierto_Masivo,21:00,17599,1,2025-04-13 21:00:00
2025-04-21,Walmart Park,Sultanes vs Durango (LMB Inaugural),Beisbol,19:30,22000,1,2025-04-21 19:30:00
2025-04-22,Walmart Park,Sultanes vs Durango (LMB),Beisbol,19:30,22000,1,2025-04-22 19:30:00
2025-04-23,Walmart Park,Sultanes vs Durango (LMB),Beisbol,19:30,22000,1,2025-04-23 19:30:00
2025-07-19,Estadio Universitario,Tigres vs FC Juárez (Temporada Regular),Futbol,19:00,42000,2,2025-07-19 19:00:00
2025-08-08,Estadio Universitario,Tigres vs Puebla (Temporada Regular),Futbol,21:00,42000,2,2025-08-08 21:00:00
2025-08-16,Estadio Universitario,Tigres vs América (Temporada Regular),Futbol,19:00,42000,2,2025-08-16 19:00:00
2025-08-17,Estadio BBVA,Rayados vs Mazatlán (Temporada Regular),Futbol,18:00,53500,3,2025-08-17 18:00:00
2025-08-23,Estadio BBVA,Rayados vs Necaxa (Temporada Regular),Futbol,19:00,53500,3,2025-08-23 19:00:00
2025-09-24,Estadio Universitario,Tigres vs Rayados (Clásico Regio),Futbol,22:00,42000,2,2025-09-24 22:00:00
2025-09-27,Estadio BBVA,Rayados vs Santos (Temporada Regular),Futbol,21:00,53500,3,2025-09-27 21:00:00
2025-10-18,Estadio BBVA,Rayados vs Pumas (Temporada Regular),Futbol,19:00,53500,3,2025-10-18 19:00:00
2025-10-21,Estadio BBVA,Rayados vs Juárez (Temporada Regular),Futbol,21:00,53500,3,2025-10-21 21:00:00
2026-01-10,Estadio BBVA,Rayados vs Toluca (Temporada Regular),Futbol,21:00,53500,3,2026-01-10 21:00:00
2026-01-13,Estadio BBVA,Rayados vs Necaxa (Temporada Regular),Futbol,19:00,53500,3,2026-01-13 19:00:00
2026-01-16,Estadio BBVA,Rayados vs Mazatlán (Temporada Regular),Futbol,21:00,53500,3,2026-01-16 21:00:00
2026-01-17,Estadio Universitario,Tigres vs Toluca (Temporada Regular),Futbol,19:00,42000,2,2026-01-17 19:00:00
2026-01-31,Estadio BBVA,Rayados vs Tijuana (Temporada Regular),Futbol,19:00,53500,3,2026-01-31 19:00:00
2026-02-04,Arena Monterrey,Concierto Cornelio Vega,Concierto_Masivo,21:00,17599,1,2026-02-04 21:00:00
2026-02-06,Estadio Universitario,Tigres vs Santos (Temporada Regular),Futbol,19:00,42000,2,2026-02-06 19:00:00
2026-02-15,Estadio BBVA,Rayados vs León (Temporada Regular),Futbol,19:00,53500,3,2026-02-15 19:00:00
2026-02-22,Estadio BBVA,Rayados vs Pumas (Temporada Regular),Futbol,17:00,53500,3,2026-02-22 17:00:00
2026-03-14,Estadio BBVA,Rayados vs Tigres (Clásico Regio),Futbol,22:00,53500,3,2026-03-14 22:00:00
2026-03-18,Walmart Park,Sultanes Femenil vs Diablos Rojos (Serie de la Reina J1),Beisbol,20:00,22000,1,2026-03-18 20:00:00
2026-03-19,Walmart Park,Sultanes Femenil vs Diablos Rojos (Serie de la Reina J2),Beisbol,20:00,22000,1,2026-03-19 20:00:00
2026-03-21,Estadio BBVA,Rayados vs Chivas (Temporada Regular),Futbol,19:00,53500,3,2026-03-21 19:00:00
2026-03-22,Estadio Universitario,Tigres vs Juárez (Temporada Regular),Futbol,19:00,42000,2,2026-03-22 19:00:00
2026-03-26,Auditorio Citibanamex,Cypress Hill (Sideshow),Concierto_Masivo,21:00,8000,1,2026-03-26 21:00:00
2026-03-27,Parque Fundidora,"Tecate Pa'l Norte 2026 (Tyler, The Creator)",Festival,14:00,100000,4,2026-03-27 14:00:00
2026-03-28,Parque Fundidora,Tecate Pa'l Norte 2026 (Guns N' Roses),Festival,14:00,100000,4,2026-03-28 14:00:00
2026-03-29,Parque Fundidora,Tecate Pa'l Norte 2026 (The Killers),Festival,14:00,100000,4,2026-03-29 14:00:00
2026-04-11,Estadio Universitario,Tigres vs Chivas (Temporada Regular),Futbol,17:00,42000,2,2026-04-11 17:00:00
2026-04-11,Auditorio Citibanamex,Concierto Victor Manuelle,Concierto_Masivo,21:00,8000,1,2026-04-11 21:00:00
2026-04-18,Expo Guadalupe,Machaca Fest Icons Edition 2026,Festival,14:00,50000,3,2026-04-18 14:00:00
2026-04-18,Estadio BBVA,Rayados vs Puebla (Temporada Regular),Futbol,19:00,53500,3,2026-04-18 19:00:00
2026-04-22,Auditorio Citibanamex,Concierto Raphael,Concierto_Masivo,21:00,8000,1,2026-04-22 21:00:00
2026-04-24,Auditorio Citibanamex,Concierto Kany García,Concierto_Masivo,21:00,8000,1,2026-04-24 21:00:00
2026-04-25,Estadio Universitario,Tigres vs Mazatlán (Temporada Regular),Futbol,17:00,42000,2,2026-04-25 17:00:00
2026-05-06,Arena Monterrey,Concierto Foreigner,Concierto_Masivo,21:00,17599,1,2026-05-06 21:00:00
2026-05-20,Arena Monterrey,Concierto J Balvin,Concierto_Masivo,21:00,17599,1,2026-05-20 21:00:00
2026-06-09,Auditorio Citibanamex,Concierto Rawayana,Concierto_Masivo,21:00,8000,1,2026-06-09 21:00:00
2026-06-14,Estadio BBVA,Mundial FIFA 2026: UCR/SUE/POL/ALB vs Túnez,Futbol,20:00,53500,3,2026-06-14 20:00:00
2026-06-20,Estadio BBVA,Mundial FIFA 2026: Japón vs Túnez,Futbol,22:00,53500,3,2026-06-20 22:00:00
2026-06-24,Estadio BBVA,Mundial FIFA 2026: Sudáfrica vs Rep. Corea,Futbol,19:00,53500,3,2026-06-24 19:00:00
2026-06-29,Estadio BBVA,Mundial FIFA 2026: Dieciseisavos (1º F vs 2º C),Futbol,19:00,53500,3,2026-06-29 19:00:00
2026-08-19,Arena Monterrey,Concierto Rosalía (LUX Tour),Concierto_Masivo,21:00,17599,1,2026-08-19 21:00:00
2026-09-12,Auditorio Citibanamex,Concierto 5 Seconds of Summer,Concierto_Masivo,21:00,8000,1,2026-09-12 21:00:00
2026-10-31,Arena Monterrey,Concierto Panteón Rococó,Concierto_Masivo,21:00,17599,1,2026-10-31 21:00:00
2026-11-13,Arena Monterrey,Concierto Mägo de Oz,Concierto_Masivo,21:00,17599,1,2026-11-13 21:00:00
2026-12-13,Arena Monterrey,Concierto Deep Purple,Concierto_Masivo,21:00,17599,1,2026-12-13 21:00:00
2023-01-18,Estadio Banorte,Concierto Muse,Concierto_Masivo,21:00,17000,1,2023-01-18 21:00:00
2023-02-21,Estadio Banorte,Concierto Mötley Crüe y Def Leppard,Concierto_Masivo,20:00,17000,1,2023-02-21 20:00:00
2023-03-31,Parque Fundidora,Tecate Pa'l Norte 2023 (Día 1),Festival,14:00,100000,4,2023-03-31 14:00:00
2023-04-01,Parque Fundidora,Tecate Pa'l Norte 2023 (Día 2),Festival,14:00,100000,4,2023-04-01 14:00:00
2023-04-02,Parque Fundidora,Tecate Pa'l Norte 2023 (Día 3),Festival,14:00,100000,4,2023-04-02 14:00:00
2023-05-19,Estadio Banorte,Concierto Imagine Dragons,Concierto_Masivo,21:00,17000,1,2023-05-19 21:00:00
2023-06-01,Estadio Mobil Super,Concierto Rauw Alejandro,Concierto_Masivo,20:30,26500,2,2023-06-01 20:30:00
2023-06-24,Parque Fundidora,Machaca Fest 2023,Festival,14:00,100000,4,2023-06-24 14:00:00
2023-07-01,Estadio Universitario,Tigres vs Puebla (Apertura),Futbol,19:00,42000,2,2023-07-01 19:00:00
2023-07-15,Estadio Universitario,Tigres vs León (Apertura),Futbol,21:00,42000,2,2023-07-15 21:00:00
2023-08-10,Walmart Park,Sultanes vs Algodoneros (Playoffs LMB),Beisbol,19:30,22000,1,2023-08-10 19:30:00
2023-08-26,Walmart Park,Sultanes vs Tecos (Playoffs LMB),Beisbol,17:00,22000,1,2023-08-26 17:00:00
2023-08-30,Estadio Universitario,Tigres vs Santos (Apertura),Futbol,21:00,42000,2,2023-08-30 21:00:00
2023-09-02,Estadio Universitario,Tigres vs Querétaro (Apertura),Futbol,19:00,42000,2,2023-09-02 19:00:00
2023-09-26,Estadio BBVA,Concierto The Weeknd,Concierto_Masivo,21:00,53500,3,2023-09-26 21:00:00
2023-10-04,Estadio Universitario,Tigres vs Toluca (Apertura),Futbol,21:00,42000,2,2023-10-04 21:00:00
2023-10-21,Estadio Universitario,Tigres vs Cruz Azul (Apertura),Futbol,21:00,42000,2,2023-10-21 21:00:00
2023-11-04,Estadio Universitario,Tigres vs San Luis (Apertura),Futbol,17:00,42000,2,2023-11-04 17:00:00
2023-11-08,Estadio Mobil Super,Concierto Peso Pluma,Concierto_Masivo,21:00,26500,2,2023-11-08 21:00:00
2023-11-11,Estadio Universitario,Tigres vs América (Apertura),Futbol,21:00,42000,2,2023-11-11 21:00:00
2023-11-14,Estadio Banorte,Concierto Luis Miguel,Concierto_Masivo,21:00,17000,1,2023-11-14 21:00:00
2023-11-15,Estadio Banorte,Concierto Luis Miguel,Concierto_Masivo,21:00,17000,1,2023-11-15 21:00:00
2023-11-16,Estadio Banorte,Concierto Luis Miguel,Concierto_Masivo,21:00,17000,1,2023-11-16 21:00:00
2024-02-15,Estadio Banorte,Concierto Julión Álvarez (Prófugos del Anexo),Concierto_Masivo,21:00,17000,1,2024-02-15 21:00:00
2024-02-16,Estadio Banorte,Concierto Julión Álvarez (Prófugos del Anexo),Concierto_Masivo,21:00,17000,1,2024-02-16 21:00:00
2024-02-16,Estadio Mobil Super,Concierto Karol G,Concierto_Masivo,21:00,26500,2,2024-02-16 21:00:00
2024-02-17,Estadio Banorte,Concierto Julión Álvarez (Prófugos del Anexo),Concierto_Masivo,21:00,17000,1,2024-02-17 21:00:00
2024-02-17,Estadio Mobil Super,Concierto Karol G,Concierto_Masivo,21:00,26500,2,2024-02-17 21:00:00
2024-03-29,Parque Fundidora,Tecate Pa'l Norte 2024 (Día 1),Festival,14:00,100000,4,2024-03-29 14:00:00
2024-03-30,Parque Fundidora,Tecate Pa'l Norte 2024 (Día 2),Festival,14:00,100000,4,2024-03-30 14:00:00
2024-03-31,Parque Fundidora,Tecate Pa'l Norte 2024 (Día 3),Festival,14:00,100000,4,2024-03-31 14:00:00
2024-07-19,Estadio Mobil Super,Concierto Natanael Cano,Concierto_Masivo,20:00,26500,2,2024-07-19 20:00:00
2024-07-21,Estadio Mobil Super,Concierto Natanael Cano,Concierto_Masivo,20:00,26500,2,2024-07-21 20:00:00
2024-08-22,Estadio Banorte,Concierto Luis Miguel,Concierto_Masivo,21:00,17000,1,2024-08-22 21:00:00
2024-08-24,Estadio Banorte,Concierto Luis Miguel,Concierto_Masivo,21:00,17000,1,2024-08-24 21:00:00
2024-08-28,Estadio Banorte,Concierto Feid,Concierto_Masivo,21:00,17000,1,2024-08-28 21:00:00
2024-10-09,Estadio Banorte,Concierto The Killers,Concierto_Masivo,21:00,17000,1,2024-10-09 21:00:00
2024-11-08,Estadio BBVA,Concierto Paul McCartney,Concierto_Masivo,20:30,53500,3,2024-11-08 20:30:00
2025-02-24,Estadio Banorte,Concierto Twenty One Pilots,Concierto_Masivo,21:00,17000,1,2025-02-24 21:00:00
2025-04-12,Estadio Universitario,Tigres vs Rayados (Clásico Regio),Futbol,19:00,42000,2,2025-04-12 19:00:00
2025-07-27,Estadio BBVA,Rayados vs Atlas (Apertura),Futbol,19:00,53500,3,2025-07-27 19:00:00
2025-08-20,Walmart Park,Sultanes vs Tecos (Playoffs LMB),Beisbol,19:30,22000,1,2025-08-20 19:30:00
2025-08-21,Walmart Park,Sultanes vs Tecos (Playoffs LMB),Beisbol,19:30,22000,1,2025-08-21 19:30:00
2025-08-23,Parque Fundidora,Concierto Shakira,Concierto_Masivo,21:30,100000,4,2025-08-23 21:30:00
2025-09-13,Estadio Universitario,Tigres vs León (Apertura),Futbol,19:00,42000,2,2025-09-13 19:00:00
2025-11-01,Estadio BBVA,Rayados vs Tigres (Apertura),Futbol,19:00,53500,3,2025-11-01 19:00:00
